event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,division_id,division_name,sex,event_link,source,elimination_name,elimination_id,standard_event_name,year
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290166,U15 Girls,Women,https://liveheats.com/events/147528,live heats,U15 Girls,290166,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290167,U13,,https://liveheats.com/events/147528,live heats,U13,290167,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,332984,U15 Boys,Men,https://liveheats.com/events/147528,live heats,U15 Boys,332984,PWA/IWT Cold Hawaii Youth World Tour Final,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408814,Men,Men,https://liveheats.com/events/220586,live heats,Men,408814,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408815,Women,Women,https://liveheats.com/events/220586,live heats,Women,408815,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408816,Masters,,https://liveheats.com/events/220586,live heats,Masters,408816,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408818,Junior Girls,Women,https://liveheats.com/events/220586,live heats,Junior Girls,408818,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408817,Junior Boys,Men,https://liveheats.com/events/220586,live heats,Junior Boys,408817,Cold Breeze,2023
164717,CHILE: 2 STAR SURAZO Infernal - Men,Results Published,9,2023-03-24,2023-04-02,Chile,2,315939,Men,Men,https://liveheats.com/events/164717,live heats,Men,315939,SURAZO Infernal - Men,2023
187568,Morocco: Junior 100% Moulay Wave Classic,Results Published,8,2024-04-26,2024-05-04,Morocco,,353313,Junior Girls,Women,https://liveheats.com/events/187568,live heats,Junior Girls,353313,Junior 100% Moulay Wave Classic,2024
187568,Morocco: Junior 100% Moulay Wave Classic,Results Published,8,2024-04-26,2024-05-04,Morocco,,353314,Junior Boys,Men,https://liveheats.com/events/187568,live heats,Junior Boys,353314,Junior 100% Moulay Wave Classic,2024
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353252,Women,Women,https://liveheats.com/events/187555,live heats,Women,353252,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353253,Men,Men,https://liveheats.com/events/187555,live heats,Men,353253,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353254,Masters,,https://liveheats.com/events/187555,live heats,Masters,353254,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353255,Junior Girls,Women,https://liveheats.com/events/187555,live heats,Junior Girls,353255,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353256,Junior Boys,Men,https://liveheats.com/events/187555,live heats,Junior Boys,353256,Taitung Wave Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353257,Women,Women,https://liveheats.com/events/187556,live heats,Women,353257,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353258,Men,Men,https://liveheats.com/events/187556,live heats,Men,353258,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353259,Masters,,https://liveheats.com/events/187556,live heats,Masters,353259,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353260,Junior Girls,Women,https://liveheats.com/events/187556,live heats,Junior Girls,353260,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353261,Junior Boys,Men,https://liveheats.com/events/187556,live heats,Junior Boys,353261,Merimbula Classic,2023
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353358,Men,Men,https://liveheats.com/events/187578,live heats,Men,353358,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353359,Women,Women,https://liveheats.com/events/187578,live heats,Women,353359,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353360,Junior Boys,Men,https://liveheats.com/events/187578,live heats,Junior Boys,353360,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353361,Masters,,https://liveheats.com/events/187578,live heats,Masters,353361,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353362,Junior Girls,Women,https://liveheats.com/events/187578,live heats,Junior Girls,353362,Rhosneigr Wave Classic,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353267,Junior Girls,Women,https://liveheats.com/events/187558,live heats,Junior Girls,353267,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353268,Junior Boys,Men,https://liveheats.com/events/187558,live heats,Junior Boys,353268,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353271,U15 Girls,Women,https://liveheats.com/events/187558,live heats,U15 Girls,353271,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353272,U15 Boys,Men,https://liveheats.com/events/187558,live heats,U15 Boys,353272,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
