source,event_id,eventDivisionId,heat_id,athleteId,result_total,winBy,needs,place,heat_id_athleteid
PWA,357,857,1657_28a,GRE-73,,,,2.0,1657_28a_GRE-73
PWA,357,857,1657_28a,J-39,,,,4.0,1657_28a_J-39
PWA,357,857,1657_28a,BRA-105,,,,1.0,1657_28a_BRA-105
PWA,357,857,1657_28a,J-27,,,,3.0,1657_28a_J-27
PWA,357,857,1657_29a,I-676,,,,2.0,1657_29a_I-676
PWA,357,857,1657_29a,G-878,,,,3.0,1657_29a_G-878
PWA,357,857,1657_29a,Pol-111,,,,1.0,1657_29a_Pol-111
PWA,357,857,1657_29a,E-51,,,,4.0,1657_29a_E-51
PWA,357,857,1657_30a,NC-21,,,,1.0,1657_30a_NC-21
PWA,357,857,1657_30a,G-45,,,,3.0,1657_30a_G-45
PWA,357,857,1657_30a,E-255,,,,2.0,1657_30a_E-255
PWA,357,857,1657_30a,K-90,,,,4.0,1657_30a_K-579
PWA,357,857,1657_31a,E-242,,,,1.0,1657_31a_E-242
PWA,357,857,1657_31a,E-45,,,,3.0,1657_31a_E-45
PWA,357,857,1657_31a,ISR-13,,,,2.0,1657_31a_ISR-13
PWA,357,857,1657_31a,G-141,,,,4.0,1657_31a_G-141
PWA,357,857,1657_32a,E-203,,,,2.0,1657_32a_E-203
PWA,357,857,1657_32a,E-0,,,,3.0,1657_32a_E-0
PWA,357,857,1657_32a,HI-101,,,,1.0,1657_32a_HI-101
PWA,357,857,1657_32a,G-31,,,,4.0,1657_32a_G-31
PWA,357,857,1657_33a,G-6,,,,3.0,1657_33a_G-6
PWA,357,857,1657_33a,GPE-1,,,,4.0,1657_33a_GPE-1
PWA,357,857,1657_33a,GRE-734,,,,2.0,1657_33a_GRE-734
PWA,357,857,1657_33a,F-47,,,,1.0,1657_33a_F-47
PWA,357,857,1657_34a,J-20,,,,2.0,1657_34a_J-20
PWA,357,857,1657_34a,D-36,,,,3.0,1657_34a_D-36
PWA,357,857,1657_34a,G-1181,,,,1.0,1657_34a_G-1181
PWA,357,857,1657_34a,POL-64,,,,4.0,1657_34a_POL-64
PWA,357,857,1657_35a,E-99,,,,1.0,1657_35a_E-99
PWA,357,857,1657_35a,DEN-134,,,,3.0,1657_35a_DEN-134
PWA,357,857,1657_35a,G-103,,,,2.0,1657_35a_G-103
PWA,357,857,1657_35a,F-3003,,,,4.0,1657_35a_F-3003
PWA,357,857,1657_36a,BRA-105,,,,1.0,1657_36a_BRA-105
PWA,357,857,1657_36a,E-255,,,,3.0,1657_36a_E-255
PWA,357,857,1657_36a,ISR-13,,,,4.0,1657_36a_ISR-13
PWA,357,857,1657_36a,Pol-111,,,,2.0,1657_36a_Pol-111
PWA,357,857,1657_37a,NC-21,,,,1.0,1657_37a_NC-21
PWA,357,857,1657_37a,GRE-73,,,,3.0,1657_37a_GRE-73
PWA,357,857,1657_37a,I-676,,,,4.0,1657_37a_I-676
PWA,357,857,1657_37a,E-242,,,,2.0,1657_37a_E-242
PWA,357,857,1657_38a,HI-101,,,,3.0,1657_38a_HI-101
PWA,357,857,1657_38a,J-20,,,,2.0,1657_38a_J-20
PWA,357,857,1657_38a,G-103,,,,1.0,1657_38a_G-103
PWA,357,857,1657_38a,F-47,,,,4.0,1657_38a_F-47
PWA,357,857,1657_39a,G-1181,,,,4.0,1657_39a_G-1181
PWA,357,857,1657_39a,E-203,,,,3.0,1657_39a_E-203
PWA,357,857,1657_39a,GRE-734,,,,2.0,1657_39a_GRE-734
PWA,357,857,1657_39a,E-99,,,,1.0,1657_39a_E-99
PWA,357,857,1657_40a,F-7,,,,4.0,1657_40a_F-7
PWA,357,857,1657_40a,BRA-105,,,,2.0,1657_40a_BRA-105
PWA,357,857,1657_40a,E-42,,,,1.0,1657_40a_E-42
PWA,357,857,1657_40a,Pol-111,,,,3.0,1657_40a_Pol-111
PWA,357,857,1657_41a,J-7,,,,2.0,1657_41a_J-7
PWA,357,857,1657_41a,NC-21,,,,3.0,1657_41a_NC-21
PWA,357,857,1657_41a,F-3,,,,4.0,1657_41a_F-3
PWA,357,857,1657_41a,E-242,,,,1.0,1657_41a_E-242
PWA,357,857,1657_42a,F-193,,,,1.0,1657_42a_F-193
PWA,357,857,1657_42a,G-103,,,,2.0,1657_42a_G-103
PWA,357,857,1657_42a,F-85,,,,4.0,1657_42a_F-85
PWA,357,857,1657_42a,J-20,,,,3.0,1657_42a_J-20
PWA,357,857,1657_43a,G-208,,,,4.0,1657_43a_G-208
PWA,357,857,1657_43a,E-99,,,,1.0,1657_43a_E-99
PWA,357,857,1657_43a,I-505,,,,3.0,1657_43a_I-505
PWA,357,857,1657_43a,GRE-734,,,,2.0,1657_43a_GRE-734
PWA,357,857,1657_44a,E-42,,,,1.0,1657_44a_E-42
PWA,357,857,1657_44a,BRA-105,,,,2.0,1657_44a_BRA-105
PWA,357,857,1657_44a,E-242,,,,4.0,1657_44a_E-242
PWA,357,857,1657_44a,J-7,,,,3.0,1657_44a_J-7
PWA,357,857,1657_45a,F-193,,,,4.0,1657_45a_F-193
PWA,357,857,1657_45a,G-103,,,,2.0,1657_45a_G-103
PWA,357,857,1657_45a,E-99,,,,1.0,1657_45a_E-99
PWA,357,857,1657_45a,GRE-734,,,,3.0,1657_45a_GRE-734
PWA,357,857,1657_46a,E-42,,,,2.0,1657_46a_E-42
PWA,357,857,1657_46a,BRA-105,,,,1.0,1657_46a_BRA-105
PWA,357,857,1657_46a,E-99,,,,4.0,1657_46a_E-99
PWA,357,857,1657_46a,G-103,,,,3.0,1657_46a_G-103
PWA,357,876,1663_14a,E-19,,,,1.0,1663_14a_E-19
PWA,357,876,1663_14a,ESP-1010,,,,2.0,1663_14a_ESP-1010
PWA,357,876,1663_14a,F-181,,,,3.0,1663_14a_F-181
PWA,357,876,1663_14a,None,,,,,1663_14a_None
PWA,357,876,1663_15a,D-82,,,,1.0,1663_15a_D-82
PWA,357,876,1663_15a,G-1316,,,,2.0,1663_15a_G-1316
PWA,357,876,1663_15a,G-132,,,,3.0,1663_15a_G-132
PWA,357,876,1663_15a,None,,,,,1663_15a_None
PWA,357,876,1663_16a,POL-1111,,,,3.0,1663_16a_POL-1111
PWA,357,876,1663_16a,GRE-111,,,,1.0,1663_16a_GRE-111
PWA,357,876,1663_16a,ESP,,,,2.0,1663_16a_ESP
PWA,357,876,1663_16a,None,,,,,1663_16a_None
PWA,357,876,1663_17a,NOR-500,,,,2.0,1663_17a_NOR-500
PWA,357,876,1663_17a,H-69,,,,3.0,1663_17a_H-69
PWA,357,876,1663_17a,G-209,,,,1.0,1663_17a_G-209
PWA,357,876,1663_17a,None,,,,,1663_17a_None
PWA,357,876,1663_18a,E-19,,,,2.0,1663_18a_E-19
PWA,357,876,1663_18a,ESP-1010,,,,4.0,1663_18a_ESP-1010
PWA,357,876,1663_18a,D-82,,,,1.0,1663_18a_D-82
PWA,357,876,1663_18a,G-1316,,,,3.0,1663_18a_G-1316
PWA,357,876,1663_19a,GRE-111,,,,4.0,1663_19a_GRE-111
PWA,357,876,1663_19a,ESP,,,,3.0,1663_19a_ESP
PWA,357,876,1663_19a,G-209,,,,1.0,1663_19a_G-209
PWA,357,876,1663_19a,NOR-500,,,,2.0,1663_19a_NOR-500
PWA,357,876,1663_20a,D-82,,,,0.0,1663_20a_D-82
PWA,357,876,1663_20a,E-19,,,,0.0,1663_20a_E-19
PWA,357,876,1663_20a,G-209,,,,0.0,1663_20a_G-209
PWA,357,876,1663_20a,NOR-500,,,,0.0,1663_20a_NOR-500
PWA,357,855,1657_1a,J-39,,,,3.0,1657_1a_J-39
PWA,357,855,1657_1a,GRE-73,,,,1.0,1657_1a_GRE-73
PWA,357,855,1657_1a,G-141,,,,4.0,1657_1a_G-141
PWA,357,855,1657_1a,I-505,,,,2.0,1657_1a_I-505
PWA,357,855,1657_2a,F-85,,,,1.0,1657_2a_F-85
PWA,357,855,1657_2a,GRE-734,,,,2.0,1657_2a_GRE-734
PWA,357,855,1657_2a,G-878,,,,3.0,1657_2a_G-878
PWA,357,855,1657_2a,K-90,,,,4.0,1657_2a_K-579
PWA,357,855,1657_3a,F-7,,,,1.0,1657_3a_F-7
PWA,357,855,1657_3a,G-1181,,,,2.0,1657_3a_G-1181
PWA,357,855,1657_3a,G-45,,,,3.0,1657_3a_G-45
PWA,357,855,1657_3a,E-51,,,,4.0,1657_3a_E-51
PWA,357,855,1657_4a,J-27,,,,4.0,1657_4a_J-27
PWA,357,855,1657_4a,E-242,,,,1.0,1657_4a_E-242
PWA,357,855,1657_4a,G-103,,,,2.0,1657_4a_G-103
PWA,357,855,1657_4a,E-45,,,,3.0,1657_4a_E-45
PWA,357,855,1657_5a,E-99,,,,2.0,1657_5a_E-99
PWA,357,855,1657_5a,F-3003,,,,4.0,1657_5a_F-3003
PWA,357,855,1657_5a,E-203,,,,1.0,1657_5a_E-203
PWA,357,855,1657_5a,E-0,,,,3.0,1657_5a_E-0
PWA,357,855,1657_6a,Pol-111,,,,2.0,1657_6a_Pol-111
PWA,357,855,1657_6a,POL-64,,,,4.0,1657_6a_POL-64
PWA,357,855,1657_6a,E-255,,,,1.0,1657_6a_E-255
PWA,357,855,1657_6a,GPE-1,,,,3.0,1657_6a_GPE-1
PWA,357,855,1657_7a,F-47,,,,4.0,1657_7a_F-47
PWA,357,855,1657_7a,D-36,,,,3.0,1657_7a_D-36
PWA,357,855,1657_7a,B-35,,,,1.0,1657_7a_B-35
PWA,357,855,1657_7a,G-6,,,,2.0,1657_7a_G-6
PWA,357,855,1657_8a,E-95,,,,1.0,1657_8a_E-95
PWA,357,855,1657_8a,G-31,,,,4.0,1657_8a_G-31
PWA,357,855,1657_8a,DEN-134,,,,3.0,1657_8a_DEN-134
PWA,357,855,1657_8a,ISR-13,,,,2.0,1657_8a_ISR-13
PWA,357,855,1657_9a,J-7,,,,2.0,1657_9a_J-7
PWA,357,855,1657_9a,GRE-73,,,,3.0,1657_9a_GRE-73
PWA,357,855,1657_9a,G-44,,,,1.0,1657_9a_G-44
PWA,357,855,1657_9a,G-103,,,,4.0,1657_9a_G-103
PWA,357,855,1657_10a,I-676,,,,3.0,1657_10a_I-676
PWA,357,855,1657_10a,F-85,,,,2.0,1657_10a_F-85
PWA,357,855,1657_10a,V-111,,,,1.0,1657_10a_V-111
PWA,357,855,1657_10a,G-1181,,,,4.0,1657_10a_G-1181
PWA,357,855,1657_11a,NC-21,,,,3.0,1657_11a_NC-21
PWA,357,855,1657_11a,F-7,,,,2.0,1657_11a_F-7
PWA,357,855,1657_11a,E-959,,,,1.0,1657_11a_E-959
PWA,357,855,1657_11a,GRE-734,,,,4.0,1657_11a_GRE-734
PWA,357,855,1657_12a,E-11,,,,1.0,1657_12a_E-11
PWA,357,855,1657_12a,E-242,,,,3.0,1657_12a_E-242
PWA,357,855,1657_12a,HI-101,,,,4.0,1657_12a_HI-101
PWA,357,855,1657_12a,I-505,,,,2.0,1657_12a_I-505
PWA,357,855,1657_13a,F-3,,,,1.0,1657_13a_F-3
PWA,357,855,1657_13a,E-203,,,,3.0,1657_13a_E-203
PWA,357,855,1657_13a,E-42,,,,2.0,1657_13a_E-42
PWA,357,855,1657_13a,ISR-13,,,,4.0,1657_13a_ISR-13
PWA,357,855,1657_14a,G-208,,,,2.0,1657_14a_G-208
PWA,357,855,1657_14a,E-255,,,,4.0,1657_14a_E-255
PWA,357,855,1657_14a,F-193,,,,1.0,1657_14a_F-193
PWA,357,855,1657_14a,G-6,,,,3.0,1657_14a_G-6
PWA,357,855,1657_15a,J-20,,,,3.0,1657_15a_J-20
PWA,357,855,1657_15a,B-35,,,,1.0,1657_15a_B-35
PWA,357,855,1657_15a,K-89,,,,2.0,1657_15a_K-89
PWA,357,855,1657_15a,Pol-111,,,,4.0,1657_15a_Pol-111
PWA,357,855,1657_16a,G-901,,,,2.0,1657_16a_G-901
PWA,357,855,1657_16a,E-95,,,,1.0,1657_16a_E-95
PWA,357,855,1657_16a,BRA-105,,,,4.0,1657_16a_BRA-105
PWA,357,855,1657_16a,E-99,,,,3.0,1657_16a_E-99
PWA,357,855,1657_17a,G-44,,,,1.0,1657_17a_G-44
PWA,357,855,1657_17a,V-111,,,,2.0,1657_17a_V-111
PWA,357,855,1657_17a,I-505,,,,4.0,1657_17a_I-505
PWA,357,855,1657_17a,F-7,,,,3.0,1657_17a_F-7
PWA,357,855,1657_18a,E-959,,,,1.0,1657_18a_E-959
PWA,357,855,1657_18a,E-11,,,,2.0,1657_18a_E-11
PWA,357,855,1657_18a,F-85,,,,4.0,1657_18a_F-85
PWA,357,855,1657_18a,J-7,,,,3.0,1657_18a_J-7
PWA,357,855,1657_19a,F-3,,,,4.0,1657_19a_F-3
PWA,357,855,1657_19a,F-193,,,,3.0,1657_19a_F-193
PWA,357,855,1657_19a,K-89,,,,1.0,1657_19a_K-89
PWA,357,855,1657_19a,G-901,,,,2.0,1657_19a_G-901
PWA,357,855,1657_20a,B-35,,,,2.0,1657_20a_B-35
PWA,357,855,1657_20a,E-95,,,,1.0,1657_20a_E-95
PWA,357,855,1657_20a,E-42,,,,4.0,1657_20a_E-42
PWA,357,855,1657_20a,G-208,,,,3.0,1657_20a_G-208
PWA,357,855,1657_21a,G-44,,,,2.0,1657_21a_G-44
PWA,357,855,1657_21a,E-959,,,,1.0,1657_21a_E-959
PWA,357,855,1657_21a,B-35,,,,4.0,1657_21a_B-35
PWA,357,855,1657_21a,G-901,,,,3.0,1657_21a_G-901
PWA,357,855,1657_22a,K-89,,,,2.0,1657_22a_K-89
PWA,357,855,1657_22a,E-95,,,,4.0,1657_22a_E-95
PWA,357,855,1657_22a,E-11,,,,1.0,1657_22a_E-11
PWA,357,855,1657_22a,V-111,,,,3.0,1657_22a_V-111
PWA,357,855,1657_23a,G-901,,,,2.0,1657_23a_G-901
PWA,357,855,1657_23a,V-111,,,,3.0,1657_23a_V-111
PWA,357,855,1657_23a,B-35,,,,1.0,1657_23a_B-35
PWA,357,855,1657_23a,E-95,,,,4.0,1657_23a_E-95
PWA,357,855,1657_24a,E-959,,,,1.0,1657_24a_E-959
PWA,357,855,1657_24a,K-89,,,,3.0,1657_24a_K-89
PWA,357,855,1657_24a,B-35,,,,2.0,1657_24a_B-35
PWA,357,855,1657_25a,E-11,,,,3.0,1657_25a_E-11
PWA,357,855,1657_25a,G-44,,,,2.0,1657_25a_G-44
PWA,357,855,1657_25a,G-901,,,,1.0,1657_25a_G-901
PWA,357,855,1657_26a,B-35,,,,2.0,1657_26a_B-35
PWA,357,855,1657_26a,G-44,,,,1.0,1657_26a_G-44
PWA,357,855,1657_27a,E-959,,,,1.0,1657_27a_E-959
PWA,357,855,1657_27a,G-901,,,,2.0,1657_27a_G-901
PWA,357,856,1663_1a,G-1316,,,,3.0,1663_1a_G-1316
PWA,357,856,1663_1a,E-19,,,,1.0,1663_1a_E-19
PWA,357,856,1663_1a,ESP,,,,2.0,1663_1a_ESP
PWA,357,856,1663_1a,GRE-111,,,,4.0,1663_1a_GRE-111
PWA,357,856,1663_2a,E-229,,,,1.0,1663_2a_E-229
PWA,357,856,1663_2a,NOR-500,,,,2.0,1663_2a_NOR-500
PWA,357,856,1663_2a,ESP-1010,,,,3.0,1663_2a_ESP-1010
PWA,357,856,1663_2a,H-69,,,,4.0,1663_2a_H-69
PWA,357,856,1663_3a,F-293,,,,2.0,1663_3a_F-293
PWA,357,856,1663_3a,SUI-678,,,,1.0,1663_3a_SUI-678
PWA,357,856,1663_3a,E-19,,,,3.0,1663_3a_E-19
PWA,357,856,1663_3a,G-209,,,,4.0,1663_3a_G-209
PWA,357,856,1663_4a,D-82,,,,3.0,1663_4a_D-82
PWA,357,856,1663_4a,G-59,,,,1.0,1663_4a_G-59
PWA,357,856,1663_4a,ESP,,,,4.0,1663_4a_ESP
PWA,357,856,1663_4a,G-3,,,,2.0,1663_4a_G-3
PWA,357,856,1663_5a,G-132,,,,4.0,1663_5a_G-132
PWA,357,856,1663_5a,POL-1111,,,,3.0,1663_5a_POL-1111
PWA,357,856,1663_5a,E-229,,,,2.0,1663_5a_E-229
PWA,357,856,1663_5a,B-5,,,,1.0,1663_5a_B-5
PWA,357,856,1663_6a,E-737,,,,2.0,1663_6a_E-737
PWA,357,856,1663_6a,F-181,,,,4.0,1663_6a_F-181
PWA,357,856,1663_6a,NOR-500,,,,3.0,1663_6a_NOR-500
PWA,357,856,1663_6a,ARU-91,,,,1.0,1663_6a_ARU-91
PWA,357,856,1663_7a,SUI-678,,,,2.0,1663_7a_SUI-678
PWA,357,856,1663_7a,G-59,,,,1.0,1663_7a_G-59
PWA,357,856,1663_7a,E-737,,,,4.0,1663_7a_E-737
PWA,357,856,1663_7a,E-229,,,,3.0,1663_7a_E-229
PWA,357,856,1663_8a,B-5,,,,3.0,1663_8a_B-5
PWA,357,856,1663_8a,ARU-91,,,,1.0,1663_8a_ARU-91
PWA,357,856,1663_8a,G-3,,,,2.0,1663_8a_G-3
PWA,357,856,1663_8a,F-293,,,,4.0,1663_8a_F-293
PWA,357,856,1663_9a,E-229,,,,3.0,1663_9a_E-229
PWA,357,856,1663_9a,B-5,,,,1.0,1663_9a_B-5
PWA,357,856,1663_9a,F-293,,,,4.0,1663_9a_F-293
PWA,357,856,1663_9a,E-737,,,,2.0,1663_9a_E-737
PWA,357,856,1663_10a,G-59,,,,2.0,1663_10a_G-59
PWA,357,856,1663_10a,G-3,,,,1.0,1663_10a_G-3
PWA,357,856,1663_10a,B-5,,,,3.0,1663_10a_B-5
PWA,357,856,1663_11a,ARU-91,,,,1.0,1663_11a_ARU-91
PWA,357,856,1663_11a,SUI-678,,,,3.0,1663_11a_SUI-678
PWA,357,856,1663_11a,E-737,,,,2.0,1663_11a_E-737
PWA,357,856,1663_12a,G-59,,,,1.0,1663_12a_G-59
PWA,357,856,1663_12a,E-737,,,,2.0,1663_12a_E-737
PWA,357,856,1663_13a,G-3,,,,2.0,1663_13a_G-3
PWA,357,856,1663_13a,ARU-91,,,,1.0,1663_13a_ARU-91
PWA,358,926,1754_24a,TF-7,,,,2.0,1754_24a_TF-7
PWA,358,926,1754_24a,GRE-73,,,,1.0,1754_24a_GRE-73
PWA,358,926,1754_24a,K-90,,,,3.0,1754_24a_K-579
PWA,358,926,1754_24a,None,,,,,1754_24a_None
PWA,358,926,1754_25a,G-31,,,,2.0,1754_25a_G-31
PWA,358,926,1754_25a,E-714,,,,4.0,1754_25a_E-714
PWA,358,926,1754_25a,E-51,,,,1.0,1754_25a_E-51
PWA,358,926,1754_25a,ITA-275,,,,3.0,1754_25a_ITA-275
PWA,358,926,1754_26a,E-174,,,,2.0,1754_26a_E-174
PWA,358,926,1754_26a,ISR-13,,,,3.0,1754_26a_ISR-13
PWA,358,926,1754_26a,FRA-41,,,,1.0,1754_26a_FRA-41
PWA,358,926,1754_26a,None,,,,,1754_26a_None
PWA,358,926,1754_27a,G-1181,,,,4.0,1754_27a_G-1181
PWA,358,926,1754_27a,G-878,,,,3.0,1754_27a_G-878
PWA,358,926,1754_27a,G-45,,,,1.0,1754_27a_G-45
PWA,358,926,1754_27a,CZE-222,,,,2.0,1754_27a_CZE-222
PWA,358,926,1754_28a,TF-27,,,,3.0,1754_28a_TF-27
PWA,358,926,1754_28a,J-39,,,,2.0,1754_28a_J-39
PWA,358,926,1754_28a,E-203,,,,1.0,1754_28a_E-203
PWA,358,926,1754_28a,None,,,,,1754_28a_None
PWA,358,926,1754_29a,POL-64,,,,3.0,1754_29a_POL-64
PWA,358,926,1754_29a,E-242,,,,2.0,1754_29a_E-242
PWA,358,926,1754_29a,E-33,,,,1.0,1754_29a_E-33
PWA,358,926,1754_29a,GR-264,,,,4.0,1754_29a_GR-264
PWA,358,926,1754_30a,ITA-140,,,,3.0,1754_30a_ITA-140
PWA,358,926,1754_30a,I-505,,,,1.0,1754_30a_I-505
PWA,358,926,1754_30a,NC-21,,,,2.0,1754_30a_NC-21
PWA,358,926,1754_30a,G-141,,,,4.0,1754_30a_G-141
PWA,358,926,1754_31a,G-6,,,,3.0,1754_31a_G-6
PWA,358,926,1754_31a,F-3003,,,,2.0,1754_31a_F-3003
PWA,358,926,1754_31a,G-103,,,,1.0,1754_31a_G-103
PWA,358,926,1754_31a,CZ-66,,,,4.0,1754_31a_CZ-66
PWA,358,926,1754_32a,GRE-73,,,,1.0,1754_32a_GRE-73
PWA,358,926,1754_32a,CZE-222,,,,4.0,1754_32a_CZE-222
PWA,358,926,1754_32a,E-51,,,,3.0,1754_32a_E-51
PWA,358,926,1754_32a,E-174,,,,2.0,1754_32a_E-174
PWA,358,926,1754_33a,FRA-41,,,,1.0,1754_33a_FRA-41
PWA,358,926,1754_33a,G-31,,,,3.0,1754_33a_G-31
PWA,358,926,1754_33a,G-45,,,,2.0,1754_33a_G-45
PWA,358,926,1754_33a,TF-7,,,,4.0,1754_33a_TF-7
PWA,358,926,1754_34a,E-203,,,,1.0,1754_34a_E-203
PWA,358,926,1754_34a,F-3003,,,,4.0,1754_34a_F-3003
PWA,358,926,1754_34a,E-33,,,,3.0,1754_34a_E-33
PWA,358,926,1754_34a,NC-21,,,,2.0,1754_34a_NC-21
PWA,358,926,1754_35a,I-505,,,,3.0,1754_35a_I-505
PWA,358,926,1754_35a,E-242,,,,2.0,1754_35a_E-242
PWA,358,926,1754_35a,G-103,,,,1.0,1754_35a_G-103
PWA,358,926,1754_35a,J-39,,,,4.0,1754_35a_J-39
PWA,358,926,1754_36a,E-255,,,,2.0,1754_36a_E-255
PWA,358,926,1754_36a,GRE-73,,,,4.0,1754_36a_GRE-73
PWA,358,926,1754_36a,J-20,,,,3.0,1754_36a_J-20
PWA,358,926,1754_36a,G-45,,,,1.0,1754_36a_G-45
PWA,358,926,1754_37a,J-7,,,,2.0,1754_37a_J-7
PWA,358,926,1754_37a,FRA-41,,,,1.0,1754_37a_FRA-41
PWA,358,926,1754_37a,GRE-734,,,,4.0,1754_37a_GRE-734
PWA,358,926,1754_37a,E-174,,,,3.0,1754_37a_E-174
PWA,358,926,1754_38a,D-36,,,,2.0,1754_38a_D-36
PWA,358,926,1754_38a,E-203,,,,3.0,1754_38a_E-203
PWA,358,926,1754_38a,POL-111,,,,1.0,1754_38a_POL-111
PWA,358,926,1754_38a,E-242,,,,4.0,1754_38a_E-242
PWA,358,926,1754_39a,E-959,,,,1.0,1754_39a_E-959
PWA,358,926,1754_39a,G-103,,,,3.0,1754_39a_G-103
PWA,358,926,1754_39a,DEN-134,,,,4.0,1754_39a_DEN-134
PWA,358,926,1754_39a,NC-21,,,,2.0,1754_39a_NC-21
PWA,358,926,1754_40a,G-45,,,,4.0,1754_40a_G-45
PWA,358,926,1754_40a,NC-21,,,,1.0,1754_40a_NC-21
PWA,358,926,1754_40a,FRA-41,,,,3.0,1754_40a_FRA-41
PWA,358,926,1754_40a,D-36,,,,2.0,1754_40a_D-36
PWA,358,926,1754_41a,POL-111,,,,3.0,1754_41a_POL-111
PWA,358,926,1754_41a,J-7,,,,2.0,1754_41a_J-7
PWA,358,926,1754_41a,E-959,,,,1.0,1754_41a_E-959
PWA,358,926,1754_41a,E-255,,,,4.0,1754_41a_E-255
PWA,358,926,1754_42a,V-111,,,,1.0,1754_42a_V-111
PWA,358,926,1754_42a,NC-21,,,,3.0,1754_42a_NC-21
PWA,358,926,1754_42a,J-27,,,,4.0,1754_42a_J-27
PWA,358,926,1754_42a,J-7,,,,2.0,1754_42a_J-7
PWA,358,926,1754_43a,B-35,,,,3.0,1754_43a_B-35
PWA,358,926,1754_43a,E-959,,,,1.0,1754_43a_E-959
PWA,358,926,1754_43a,E-99,,,,4.0,1754_43a_E-99
PWA,358,926,1754_43a,D-36,,,,2.0,1754_43a_D-36
PWA,358,926,1754_44a,V-111,,,,1.0,1754_44a_V-111
PWA,358,926,1754_44a,D-36,,,,4.0,1754_44a_D-36
PWA,358,926,1754_44a,E-959,,,,2.0,1754_44a_E-959
PWA,358,926,1754_44a,J-7,,,,3.0,1754_44a_J-7
PWA,358,926,1754_45a,V-111,,,,2.0,1754_45a_V-111
PWA,358,926,1754_45a,E-959,,,,1.0,1754_45a_E-959
PWA,358,926,1754_46a,E-11,,,,2.0,1754_46a_E-11
PWA,358,926,1754_46a,E-959,,,,1.0,1754_46a_E-959
PWA,358,926,1754_47a,E-42,,,,1.0,1754_47a_E-42
PWA,358,926,1754_47a,E-959,,,,2.0,1754_47a_E-959
PWA,358,926,1754_48a,G-901,,,,2.0,1754_48a_G-901
PWA,358,926,1754_48a,E-42,,,,1.0,1754_48a_E-42
PWA,358,926,1754_49a,E-334,,,,1.0,1754_49a_E-334
PWA,358,926,1754_49a,E-42,,,,2.0,1754_49a_E-42
PWA,358,926,1754_50a,E-334,,,,0.0,1754_50a_E-334
PWA,358,926,1754_50a,E-42,,,,0.0,1754_50a_E-42
PWA,358,927,1758_24a,None,,,,,1758_24a_None
PWA,358,927,1758_24a,None,,,,,1758_24a_None
PWA,358,927,1758_24a,None,,,,,1758_24a_None
PWA,358,927,1758_24a,None,,,,,1758_24a_None
PWA,358,927,1758_25a,None,,,,,1758_25a_None
PWA,358,927,1758_25a,None,,,,,1758_25a_None
PWA,358,927,1758_25a,None,,,,,1758_25a_None
PWA,358,927,1758_25a,None,,,,,1758_25a_None
PWA,358,927,1758_26a,None,,,,,1758_26a_None
PWA,358,927,1758_26a,None,,,,,1758_26a_None
PWA,358,927,1758_26a,None,,,,,1758_26a_None
PWA,358,927,1758_26a,None,,,,,1758_26a_None
PWA,358,927,1758_27a,None,,,,,1758_27a_None
PWA,358,927,1758_27a,None,,,,,1758_27a_None
PWA,358,927,1758_27a,None,,,,,1758_27a_None
PWA,358,927,1758_27a,None,,,,,1758_27a_None
PWA,358,927,1758_28a,None,,,,,1758_28a_None
PWA,358,927,1758_28a,None,,,,,1758_28a_None
PWA,358,927,1758_28a,None,,,,,1758_28a_None
PWA,358,927,1758_28a,None,,,,,1758_28a_None
PWA,358,927,1758_29a,None,,,,,1758_29a_None
PWA,358,927,1758_29a,None,,,,,1758_29a_None
PWA,358,927,1758_29a,None,,,,,1758_29a_None
PWA,358,927,1758_29a,None,,,,,1758_29a_None
PWA,358,927,1758_30a,None,,,,,1758_30a_None
PWA,358,927,1758_30a,None,,,,,1758_30a_None
PWA,358,927,1758_30a,None,,,,,1758_30a_None
PWA,358,927,1758_30a,None,,,,,1758_30a_None
PWA,358,927,1758_31a,None,,,,,1758_31a_None
PWA,358,927,1758_31a,None,,,,,1758_31a_None
PWA,358,927,1758_31a,None,,,,,1758_31a_None
PWA,358,927,1758_31a,None,,,,,1758_31a_None
PWA,358,927,1758_32a,None,,,,,1758_32a_None
PWA,358,927,1758_32a,None,,,,,1758_32a_None
PWA,358,927,1758_32a,None,,,,,1758_32a_None
PWA,358,927,1758_32a,None,,,,,1758_32a_None
PWA,358,927,1758_33a,None,,,,,1758_33a_None
PWA,358,927,1758_33a,None,,,,,1758_33a_None
PWA,358,927,1758_33a,None,,,,,1758_33a_None
PWA,358,927,1758_33a,None,,,,,1758_33a_None
PWA,358,927,1758_34a,None,,,,,1758_34a_None
PWA,358,927,1758_34a,None,,,,,1758_34a_None
PWA,358,927,1758_34a,None,,,,,1758_34a_None
PWA,358,927,1758_34a,None,,,,,1758_34a_None
PWA,358,927,1758_35a,None,,,,,1758_35a_None
PWA,358,927,1758_35a,None,,,,,1758_35a_None
PWA,358,927,1758_35a,None,,,,,1758_35a_None
PWA,358,927,1758_35a,None,,,,,1758_35a_None
PWA,358,927,1758_36a,G-118,,,,2.0,1758_36a_G-118
PWA,358,927,1758_36a,H-69,,,,3.0,1758_36a_H-69
PWA,358,927,1758_36a,E-19,,,,4.0,1758_36a_E-19
PWA,358,927,1758_36a,G-132,,,,1.0,1758_36a_G-132
